id,title,link,score,review
1,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,티모시 그잘생곀ㅅ어 진짜
2,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,최고다 누가 싫다고했냐 ㅋㅋ 미쳤다그냥 일분일초도 눈 못뗌
3,더 수어사이드 스쿼드,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=167569&target=after,7,연출은 진짜 잘 한다..cg도 많이 올라온 듯불가사리에서 새끼 불가사리가 나올 때 그림자 표현에서 렌더링이 좀 이상하게 돈 것 같은 거 빼곤 다 좋았음
4,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,8,"딱 기대했던 정도, 난 볼만함, 톰 하디를 좋아해서 그럴수도"
5,고장난 론,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209496&target=after,10,재미 !! 감동 !! 스토리!! 가 모두 완벽했습니다!추천합니다!!
6,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,"압도적 스케일, 안정적인 연기, 화려한 영상미 후속이 기대되는, 시간이 너무 빨리 흐르는 그런영화"
7,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,2,네이버 광고냐 재밋어질려고하면 끝남
8,콜,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=179879&target=after,8,스토리도 좋았고 배우들의 연기도 좋았습니다. 2편이 나와도 좋을것 같습니다.
9,히든 피겨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=147092&target=after,10,지금까지 영화인생 15년 동안 제일 인상깊고 좋았던 영화입니다. 정말정말 추천합니다. 이런 영화는 1000억을 투자해도 의미있을만큼 좋은것같네요
10,헬로우 고스트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=75401&target=after,4,내내지루하네요평점에 속음 ㅠ
11,곤지암,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=172454&target=after,1,거지같네ㅋ감독 수준보소
12,쁘띠 마망,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=202669&target=after,8,엔딩 장면부터 크레딧 끝날 때까지 눈물 줄줄 쏟았다.
13,그린 나이트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=204768&target=after,2,1.5배속으로 보아야 할 정도로 느리게 흘러가며 영화가 불친절하다고 느낄 정도로 스토리텔링이 부족했다.  영화를 끝까지 다 봐야 지만 무엇을 말하고자 하는지 알게 된다. 그리고 그게 여운을 남기는 스토리는 더더욱 아니다. 몽환적으로 상상하게 하도록 영화 초반부터 연출해서 결국 난잡하게 흘러가 버린 느낌이다.
14,온리 더 브레이브,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=151752&target=after,10,영화가 다끝났는데도 가슴이 먹먹합니다 ㅠ
15,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,7,너무 길었음.. 졸려 죽는줄 ㅠㅠ 그렇다고 재미없는건 또 아니어서 조금만 빠르게 진행됐으면 좋았을 것 같다
16,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,4,1편과 크게 다르지 않는 뻔한 내용
17,우리 손자 베스트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=149955&target=after,5,다뤘다는 것에 의의를 두자
18,돌멩이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=167421&target=after,10,석구의 외로움이 먹먹하다
19,비커밍 제인,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=64242&target=after,8,
20,블랙북,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=61095&target=after,8,
21,Da 5 블러드,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=194802&target=after,8,역전의 용사는 나이를 이기지 못한다.
22,러브 앳,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190244&target=after,10,남자로서 항상 느끼지만 여주가 예쁘면 영화에 집중도 더 잘되고 더 재밌어지는것같음 … 여주 개예쁘고 영화 자체도 충분히 재밌다
23,인 더 하이츠,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191631&target=after,6,김 빠진 사이다
24,메멘토,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=31940&target=after,10,보이는 것을 '그대로' 믿지 말고 '의심'해라.그 '진실'을 감당할 수 있을까.
25,더 포가튼 배틀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=210267&target=after,7,그저그런 전쟁영화다.
26,프리 가이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190324&target=after,7,"아이고 참 좋은데.. 가상현실 기술과 넷의 구조, 밈을 모르면 보기 힘든 영화.."
27,콰이어트 플레이스 2,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=189368&target=after,10,숨 쉬기도 어려움
